Domain,Sub domain,Intent,value,0,1,2,3,4,5,6,7,8,9,y_hat
About Techology,Data Security & Privacy,sensitive_data_storage,I am hopeful that my personal data will not persist to your cloud.,-3.5332904,-2.971164,-3.1145604,-3.2494907,2.1985555,-3.288588,-3.402572,-3.2843678,-3.8884168,-3.365502,4
About Techology,Data Security & Privacy,data_security,Where are you store my information?,-3.221437,-3.5608099,2.214817,-3.1576967,-3.262542,-3.27422,-3.4964707,-3.5939806,-3.2699895,-3.487317,2
About Techology,iAM SMART Integration,data_exchange_iamsmart,We do not want to share our personal information with iAMSMART.,-3.688661,-2.9930315,-3.2350748,1.870935,-3.2575402,-3.3318586,-3.3208897,-3.4579866,-3.5623202,-3.1794982,3
About Techology,iAM SMART Integration,Without_iamsmart,"I have no i AM SMART account, can I still utilize your service?",-3.2111423,2.14389,-3.6137333,-3.1020267,-3.047388,-3.2773898,-3.4891896,-3.2213683,-3.528157,-3.4562366,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I am not looking for data exchange for i am smart, are you sure?",-4.368295,-2.3687735,-3.3776426,1.0415543,-3.2301025,-3.6042314,-3.713084,-3.8317602,-4.0798297,-3.5727482,3
About Techology,iAM SMART Integration,Without_iamsmart,Could I still sign up to use your service if I don't have an iAMSMART account?,-3.1757798,2.1331487,-3.5658739,-3.2193403,-3.0860858,-3.3327804,-3.3079674,-3.3089683,-3.4691126,-3.4929817,1
About Techology,Data Security & Privacy,sensitive_data_storage,Are You storing My Personal Data?,-3.484165,-3.0422983,-3.0207806,-3.3734818,2.2198112,-3.2367158,-3.4857953,-3.2412758,-3.810827,-3.2762983,4
About Business Component,Overall,Service_Summary,Say More About Your Service,-3.1070545,-3.3055704,-3.5414681,-3.1841369,-3.2036777,-3.3667102,-3.455943,-3.1988227,-2.9931033,2.0310917,9
About Techology,Data Security & Privacy,sensitive_data_storage,Do My Personal Data be Stored on Your Cloud?,-3.4098814,-3.102469,-3.0954776,-3.3650324,2.192768,-3.256111,-3.5150166,-3.2512653,-3.8073766,-3.224516,4
About Techology,iAM SMART Integration,Without_iamsmart,I don¡¦t want to register an iAM SMART account¡Xwhat do I can do if so?,-3.2184722,2.0293152,-3.5505486,-2.975401,-3.2712317,-3.4704094,-3.4013991,-3.3628824,-3.5496244,-3.538968,1
About Techology,Data Security & Privacy,data_security,Is it going to get my info even if I don¡¦t use the iAMSMART service?,-3.974571,-3.1692443,1.2030079,-2.833347,-3.2076888,-3.748269,-3.5613866,-4.0750704,-3.8736618,-3.8224008,2
About Business Component,Overall,Doubt_usefulness,What Are The Advantages Of Using Fill Easy?,-3.09312,-3.3894527,-3.2873816,-3.4297316,-3.7765875,-3.437458,-3.0058405,-3.283096,1.9603732,-3.2538042,8
